name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,films,species,vehicles,starships,created,edited,url,rotation_period,orbital_period,diameter,climate,gravity,terrain,surface_water,population,residents,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,hyperdrive_rating,MGLT,starship_class,pilots
Anakin Skywalker,188,84,blond,fair,blue,41.9BBY,male,https://swapi.dev/api/planets/1/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",[],"['https://swapi.dev/api/vehicles/44/', 'https://swapi.dev/api/vehicles/46/']","['https://swapi.dev/api/starships/39/', 'https://swapi.dev/api/starships/59/', 'https://swapi.dev/api/starships/65/']",2014-12-10T16:20:44.310000Z,2014-12-20T21:17:50.327000Z,https://swapi.dev/api/people/11/,,,,,,,,,,,,,,,,,,,,,,
Wilhuff Tarkin,180,unknown,"auburn, grey",fair,blue,64BBY,male,https://swapi.dev/api/planets/21/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/6/']",[],[],[],2014-12-10T16:26:56.138000Z,2014-12-20T21:17:50.330000Z,https://swapi.dev/api/people/12/,,,,,,,,,,,,,,,,,,,,,,
Chewbacca,228,112,brown,unknown,blue,200BBY,male,https://swapi.dev/api/planets/14/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/3/'],['https://swapi.dev/api/vehicles/19/'],"['https://swapi.dev/api/starships/10/', 'https://swapi.dev/api/starships/22/']",2014-12-10T16:42:45.066000Z,2014-12-20T21:17:50.332000Z,https://swapi.dev/api/people/13/,,,,,,,,,,,,,,,,,,,,,,
Han Solo,180,80,brown,fair,brown,29BBY,male,https://swapi.dev/api/planets/22/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/']",[],[],"['https://swapi.dev/api/starships/10/', 'https://swapi.dev/api/starships/22/']",2014-12-10T16:49:14.582000Z,2014-12-20T21:17:50.334000Z,https://swapi.dev/api/people/14/,,,,,,,,,,,,,,,,,,,,,,
Greedo,173,74,n/a,green,black,44BBY,male,https://swapi.dev/api/planets/23/,['https://swapi.dev/api/films/1/'],['https://swapi.dev/api/species/4/'],[],[],2014-12-10T17:03:30.334000Z,2014-12-20T21:17:50.336000Z,https://swapi.dev/api/people/15/,,,,,,,,,,,,,,,,,,,,,,
Jabba Desilijic Tiure,175,"1,358",n/a,"green-tan, brown",orange,600BBY,hermaphrodite,https://swapi.dev/api/planets/24/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/']",['https://swapi.dev/api/species/5/'],[],[],2014-12-10T17:11:31.638000Z,2014-12-20T21:17:50.338000Z,https://swapi.dev/api/people/16/,,,,,,,,,,,,,,,,,,,,,,
Wedge Antilles,170,77,brown,fair,hazel,21BBY,male,https://swapi.dev/api/planets/22/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/']",[],['https://swapi.dev/api/vehicles/14/'],['https://swapi.dev/api/starships/12/'],2014-12-12T11:08:06.469000Z,2014-12-20T21:17:50.341000Z,https://swapi.dev/api/people/18/,,,,,,,,,,,,,,,,,,,,,,
Jek Tono Porkins,180,110,brown,fair,blue,unknown,male,https://swapi.dev/api/planets/26/,['https://swapi.dev/api/films/1/'],[],[],['https://swapi.dev/api/starships/12/'],2014-12-12T11:16:56.569000Z,2014-12-20T21:17:50.343000Z,https://swapi.dev/api/people/19/,,,,,,,,,,,,,,,,,,,,,,
Yoda,66,17,white,green,brown,896BBY,male,https://swapi.dev/api/planets/28/,"['https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/6/'],[],[],2014-12-15T12:26:01.042000Z,2014-12-20T21:17:50.345000Z,https://swapi.dev/api/people/20/,,,,,,,,,,,,,,,,,,,,,,
Palpatine,170,75,grey,pale,yellow,82BBY,male,https://swapi.dev/api/planets/8/,"['https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",[],[],[],2014-12-15T12:48:05.971000Z,2014-12-20T21:17:50.347000Z,https://swapi.dev/api/people/21/,,,,,,,,,,,,,,,,,,,,,,
Boba Fett,183,78.2,black,fair,brown,31.5BBY,male,https://swapi.dev/api/planets/10/,"['https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/5/']",[],[],['https://swapi.dev/api/starships/21/'],2014-12-15T12:49:32.457000Z,2014-12-20T21:17:50.349000Z,https://swapi.dev/api/people/22/,,,,,,,,,,,,,,,,,,,,,,
IG-88,200,140,none,metal,red,15BBY,none,https://swapi.dev/api/planets/28/,['https://swapi.dev/api/films/2/'],['https://swapi.dev/api/species/2/'],[],[],2014-12-15T12:51:10.076000Z,2014-12-20T21:17:50.351000Z,https://swapi.dev/api/people/23/,,,,,,,,,,,,,,,,,,,,,,
Bossk,190,113,none,green,red,53BBY,male,https://swapi.dev/api/planets/29/,['https://swapi.dev/api/films/2/'],['https://swapi.dev/api/species/7/'],[],[],2014-12-15T12:53:49.297000Z,2014-12-20T21:17:50.355000Z,https://swapi.dev/api/people/24/,,,,,,,,,,,,,,,,,,,,,,
Lando Calrissian,177,79,black,dark,brown,31BBY,male,https://swapi.dev/api/planets/30/,"['https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/']",[],[],['https://swapi.dev/api/starships/10/'],2014-12-15T12:56:32.683000Z,2014-12-20T21:17:50.357000Z,https://swapi.dev/api/people/25/,,,,,,,,,,,,,,,,,,,,,,
Lobot,175,79,none,light,blue,37BBY,male,https://swapi.dev/api/planets/6/,['https://swapi.dev/api/films/2/'],[],[],[],2014-12-15T13:01:57.178000Z,2014-12-20T21:17:50.359000Z,https://swapi.dev/api/people/26/,,,,,,,,,,,,,,,,,,,,,,
Ackbar,180,83,none,brown mottle,orange,41BBY,male,https://swapi.dev/api/planets/31/,['https://swapi.dev/api/films/3/'],['https://swapi.dev/api/species/8/'],[],[],2014-12-18T11:07:50.584000Z,2014-12-20T21:17:50.362000Z,https://swapi.dev/api/people/27/,,,,,,,,,,,,,,,,,,,,,,
Mon Mothma,150,unknown,auburn,fair,blue,48BBY,female,https://swapi.dev/api/planets/32/,['https://swapi.dev/api/films/3/'],[],[],[],2014-12-18T11:12:38.895000Z,2014-12-20T21:17:50.364000Z,https://swapi.dev/api/people/28/,,,,,,,,,,,,,,,,,,,,,,
Arvel Crynyd,unknown,unknown,brown,fair,brown,unknown,male,https://swapi.dev/api/planets/28/,['https://swapi.dev/api/films/3/'],[],[],['https://swapi.dev/api/starships/28/'],2014-12-18T11:16:33.020000Z,2014-12-20T21:17:50.367000Z,https://swapi.dev/api/people/29/,,,,,,,,,,,,,,,,,,,,,,
Wicket Systri Warrick,88,20,brown,brown,brown,8BBY,male,https://swapi.dev/api/planets/7/,['https://swapi.dev/api/films/3/'],['https://swapi.dev/api/species/9/'],[],[],2014-12-18T11:21:58.954000Z,2014-12-20T21:17:50.369000Z,https://swapi.dev/api/people/30/,,,,,,,,,,,,,,,,,,,,,,
Nien Nunb,160,68,none,grey,black,unknown,male,https://swapi.dev/api/planets/33/,['https://swapi.dev/api/films/3/'],['https://swapi.dev/api/species/10/'],[],['https://swapi.dev/api/starships/10/'],2014-12-18T11:26:18.541000Z,2014-12-20T21:17:50.371000Z,https://swapi.dev/api/people/31/,,,,,,,,,,,,,,,,,,,,,,
Qui-Gon Jinn,193,89,brown,fair,blue,92BBY,male,https://swapi.dev/api/planets/28/,['https://swapi.dev/api/films/4/'],[],['https://swapi.dev/api/vehicles/38/'],[],2014-12-19T16:54:53.618000Z,2014-12-20T21:17:50.375000Z,https://swapi.dev/api/people/32/,,,,,,,,,,,,,,,,,,,,,,
Nute Gunray,191,90,none,mottled green,red,unknown,male,https://swapi.dev/api/planets/18/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/11/'],[],[],2014-12-19T17:05:57.357000Z,2014-12-20T21:17:50.377000Z,https://swapi.dev/api/people/33/,,,,,,,,,,,,,,,,,,,,,,
Finis Valorum,170,unknown,blond,fair,blue,91BBY,male,https://swapi.dev/api/planets/9/,['https://swapi.dev/api/films/4/'],[],[],[],2014-12-19T17:21:45.915000Z,2014-12-20T21:17:50.379000Z,https://swapi.dev/api/people/34/,,,,,,,,,,,,,,,,,,,,,,
Padmé Amidala,185,45,brown,light,brown,46BBY,female,https://swapi.dev/api/planets/8/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",[],[],"['https://swapi.dev/api/starships/39/', 'https://swapi.dev/api/starships/49/', 'https://swapi.dev/api/starships/64/']",2014-12-19T17:28:26.926000Z,2014-12-20T21:17:50.381000Z,https://swapi.dev/api/people/35/,,,,,,,,,,,,,,,,,,,,,,
Jar Jar Binks,196,66,none,orange,orange,52BBY,male,https://swapi.dev/api/planets/8/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/']",['https://swapi.dev/api/species/12/'],[],[],2014-12-19T17:29:32.489000Z,2014-12-20T21:17:50.383000Z,https://swapi.dev/api/people/36/,,,,,,,,,,,,,,,,,,,,,,
Roos Tarpals,224,82,none,grey,orange,unknown,male,https://swapi.dev/api/planets/8/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/12/'],[],[],2014-12-19T17:32:56.741000Z,2014-12-20T21:17:50.385000Z,https://swapi.dev/api/people/37/,,,,,,,,,,,,,,,,,,,,,,
Rugor Nass,206,unknown,none,green,orange,unknown,male,https://swapi.dev/api/planets/8/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/12/'],[],[],2014-12-19T17:33:38.909000Z,2014-12-20T21:17:50.388000Z,https://swapi.dev/api/people/38/,,,,,,,,,,,,,,,,,,,,,,
Ric Olié,183,unknown,brown,fair,blue,unknown,male,https://swapi.dev/api/planets/8/,['https://swapi.dev/api/films/4/'],[],[],['https://swapi.dev/api/starships/40/'],2014-12-19T17:45:01.522000Z,2014-12-20T21:17:50.392000Z,https://swapi.dev/api/people/39/,,,,,,,,,,,,,,,,,,,,,,
Watto,137,unknown,black,"blue, grey",yellow,unknown,male,https://swapi.dev/api/planets/34/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/']",['https://swapi.dev/api/species/13/'],[],[],2014-12-19T17:48:54.647000Z,2014-12-20T21:17:50.395000Z,https://swapi.dev/api/people/40/,,,,,,,,,,,,,,,,,,,,,,
Sebulba,112,40,none,"grey, red",orange,unknown,male,https://swapi.dev/api/planets/35/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/14/'],[],[],2014-12-19T17:53:02.586000Z,2014-12-20T21:17:50.397000Z,https://swapi.dev/api/people/41/,,,,,,,,,,,,,,,,,,,,,,
Quarsh Panaka,183,unknown,black,dark,brown,62BBY,male,https://swapi.dev/api/planets/8/,['https://swapi.dev/api/films/4/'],[],[],[],2014-12-19T17:55:43.348000Z,2014-12-20T21:17:50.399000Z,https://swapi.dev/api/people/42/,,,,,,,,,,,,,,,,,,,,,,
Shmi Skywalker,163,unknown,black,fair,brown,72BBY,female,https://swapi.dev/api/planets/1/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/']",[],[],[],2014-12-19T17:57:41.191000Z,2014-12-20T21:17:50.401000Z,https://swapi.dev/api/people/43/,,,,,,,,,,,,,,,,,,,,,,
Darth Maul,175,80,none,red,yellow,54BBY,male,https://swapi.dev/api/planets/36/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/22/'],['https://swapi.dev/api/vehicles/42/'],['https://swapi.dev/api/starships/41/'],2014-12-19T18:00:41.929000Z,2014-12-20T21:17:50.403000Z,https://swapi.dev/api/people/44/,,,,,,,,,,,,,,,,,,,,,,
Bib Fortuna,180,unknown,none,pale,pink,unknown,male,https://swapi.dev/api/planets/37/,['https://swapi.dev/api/films/3/'],['https://swapi.dev/api/species/15/'],[],[],2014-12-20T09:47:02.512000Z,2014-12-20T21:17:50.407000Z,https://swapi.dev/api/people/45/,,,,,,,,,,,,,,,,,,,,,,
Ayla Secura,178,55,none,blue,hazel,48BBY,female,https://swapi.dev/api/planets/37/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/15/'],[],[],2014-12-20T09:48:01.172000Z,2014-12-20T21:17:50.409000Z,https://swapi.dev/api/people/46/,,,,,,,,,,,,,,,,,,,,,,
Ratts Tyerel,79,15,none,"grey, blue",unknown,unknown,male,https://swapi.dev/api/planets/38/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/16/'],[],[],2014-12-20T09:53:15.086000Z,2014-12-20T21:17:50.410000Z,https://swapi.dev/api/people/47/,,,,,,,,,,,,,,,,,,,,,,
Dud Bolt,94,45,none,"blue, grey",yellow,unknown,male,https://swapi.dev/api/planets/39/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/17/'],[],[],2014-12-20T09:57:31.858000Z,2014-12-20T21:17:50.414000Z,https://swapi.dev/api/people/48/,,,,,,,,,,,,,,,,,,,,,,
Gasgano,122,unknown,none,"white, blue",black,unknown,male,https://swapi.dev/api/planets/40/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/18/'],[],[],2014-12-20T10:02:12.223000Z,2014-12-20T21:17:50.416000Z,https://swapi.dev/api/people/49/,,,,,,,,,,,,,,,,,,,,,,
Ben Quadinaros,163,65,none,"grey, green, yellow",orange,unknown,male,https://swapi.dev/api/planets/41/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/19/'],[],[],2014-12-20T10:08:33.777000Z,2014-12-20T21:17:50.417000Z,https://swapi.dev/api/people/50/,,,,,,,,,,,,,,,,,,,,,,
Mace Windu,188,84,none,dark,brown,72BBY,male,https://swapi.dev/api/planets/42/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",[],[],[],2014-12-20T10:12:30.846000Z,2014-12-20T21:17:50.420000Z,https://swapi.dev/api/people/51/,,,,,,,,,,,,,,,,,,,,,,
Ki-Adi-Mundi,198,82,white,pale,yellow,92BBY,male,https://swapi.dev/api/planets/43/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/20/'],[],[],2014-12-20T10:15:32.293000Z,2014-12-20T21:17:50.422000Z,https://swapi.dev/api/people/52/,,,,,,,,,,,,,,,,,,,,,,
Kit Fisto,196,87,none,green,black,unknown,male,https://swapi.dev/api/planets/44/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/21/'],[],[],2014-12-20T10:18:57.202000Z,2014-12-20T21:17:50.424000Z,https://swapi.dev/api/people/53/,,,,,,,,,,,,,,,,,,,,,,
Eeth Koth,171,unknown,black,brown,brown,unknown,male,https://swapi.dev/api/planets/45/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/22/'],[],[],2014-12-20T10:26:47.902000Z,2014-12-20T21:17:50.427000Z,https://swapi.dev/api/people/54/,,,,,,,,,,,,,,,,,,,,,,
Adi Gallia,184,50,none,dark,blue,unknown,female,https://swapi.dev/api/planets/9/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/23/'],[],[],2014-12-20T10:29:11.661000Z,2014-12-20T21:17:50.432000Z,https://swapi.dev/api/people/55/,,,,,,,,,,,,,,,,,,,,,,
Saesee Tiin,188,unknown,none,pale,orange,unknown,male,https://swapi.dev/api/planets/47/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/24/'],[],[],2014-12-20T10:32:11.669000Z,2014-12-20T21:17:50.434000Z,https://swapi.dev/api/people/56/,,,,,,,,,,,,,,,,,,,,,,
Yarael Poof,264,unknown,none,white,yellow,unknown,male,https://swapi.dev/api/planets/48/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/25/'],[],[],2014-12-20T10:34:48.725000Z,2014-12-20T21:17:50.437000Z,https://swapi.dev/api/people/57/,,,,,,,,,,,,,,,,,,,,,,
Plo Koon,188,80,none,orange,black,22BBY,male,https://swapi.dev/api/planets/49/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/26/'],[],['https://swapi.dev/api/starships/48/'],2014-12-20T10:49:19.859000Z,2014-12-20T21:17:50.439000Z,https://swapi.dev/api/people/58/,,,,,,,,,,,,,,,,,,,,,,
Mas Amedda,196,unknown,none,blue,blue,unknown,male,https://swapi.dev/api/planets/50/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/']",['https://swapi.dev/api/species/27/'],[],[],2014-12-20T10:53:26.457000Z,2014-12-20T21:17:50.442000Z,https://swapi.dev/api/people/59/,,,,,,,,,,,,,,,,,,,,,,
Gregar Typho,185,85,black,dark,brown,unknown,male,https://swapi.dev/api/planets/8/,['https://swapi.dev/api/films/5/'],[],[],['https://swapi.dev/api/starships/39/'],2014-12-20T11:10:10.381000Z,2014-12-20T21:17:50.445000Z,https://swapi.dev/api/people/60/,,,,,,,,,,,,,,,,,,,,,,
Cordé,157,unknown,brown,light,brown,unknown,female,https://swapi.dev/api/planets/8/,['https://swapi.dev/api/films/5/'],[],[],[],2014-12-20T11:11:39.630000Z,2014-12-20T21:17:50.449000Z,https://swapi.dev/api/people/61/,,,,,,,,,,,,,,,,,,,,,,
Cliegg Lars,183,unknown,brown,fair,blue,82BBY,male,https://swapi.dev/api/planets/1/,['https://swapi.dev/api/films/5/'],[],[],[],2014-12-20T15:59:03.958000Z,2014-12-20T21:17:50.451000Z,https://swapi.dev/api/people/62/,,,,,,,,,,,,,,,,,,,,,,
Poggle the Lesser,183,80,none,green,yellow,unknown,male,https://swapi.dev/api/planets/11/,"['https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/28/'],[],[],2014-12-20T16:40:43.977000Z,2014-12-20T21:17:50.453000Z,https://swapi.dev/api/people/63/,,,,,,,,,,,,,,,,,,,,,,
Luminara Unduli,170,56.2,black,yellow,blue,58BBY,female,https://swapi.dev/api/planets/51/,"['https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/29/'],[],[],2014-12-20T16:45:53.668000Z,2014-12-20T21:17:50.455000Z,https://swapi.dev/api/people/64/,,,,,,,,,,,,,,,,,,,,,,
Barriss Offee,166,50,black,yellow,blue,40BBY,female,https://swapi.dev/api/planets/51/,['https://swapi.dev/api/films/5/'],['https://swapi.dev/api/species/29/'],[],[],2014-12-20T16:46:40.440000Z,2014-12-20T21:17:50.457000Z,https://swapi.dev/api/people/65/,,,,,,,,,,,,,,,,,,,,,,
Dormé,165,unknown,brown,light,brown,unknown,female,https://swapi.dev/api/planets/8/,['https://swapi.dev/api/films/5/'],['https://swapi.dev/api/species/1/'],[],[],2014-12-20T16:49:14.640000Z,2014-12-20T21:17:50.460000Z,https://swapi.dev/api/people/66/,,,,,,,,,,,,,,,,,,,,,,
Dooku,193,80,white,fair,brown,102BBY,male,https://swapi.dev/api/planets/52/,"['https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/1/'],['https://swapi.dev/api/vehicles/55/'],[],2014-12-20T16:52:14.726000Z,2014-12-20T21:17:50.462000Z,https://swapi.dev/api/people/67/,,,,,,,,,,,,,,,,,,,,,,
Bail Prestor Organa,191,unknown,black,tan,brown,67BBY,male,https://swapi.dev/api/planets/2/,"['https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/1/'],[],[],2014-12-20T16:53:08.575000Z,2014-12-20T21:17:50.463000Z,https://swapi.dev/api/people/68/,,,,,,,,,,,,,,,,,,,,,,
Jango Fett,183,79,black,tan,brown,66BBY,male,https://swapi.dev/api/planets/53/,['https://swapi.dev/api/films/5/'],[],[],[],2014-12-20T16:54:41.620000Z,2014-12-20T21:17:50.465000Z,https://swapi.dev/api/people/69/,,,,,,,,,,,,,,,,,,,,,,
Zam Wesell,168,55,blonde,"fair, green, yellow",yellow,unknown,female,https://swapi.dev/api/planets/54/,['https://swapi.dev/api/films/5/'],['https://swapi.dev/api/species/30/'],['https://swapi.dev/api/vehicles/45/'],[],2014-12-20T16:57:44.471000Z,2014-12-20T21:17:50.468000Z,https://swapi.dev/api/people/70/,,,,,,,,,,,,,,,,,,,,,,
Dexter Jettster,198,102,none,brown,yellow,unknown,male,https://swapi.dev/api/planets/55/,['https://swapi.dev/api/films/5/'],['https://swapi.dev/api/species/31/'],[],[],2014-12-20T17:28:27.248000Z,2014-12-20T21:17:50.470000Z,https://swapi.dev/api/people/71/,,,,,,,,,,,,,,,,,,,,,,
Lama Su,229,88,none,grey,black,unknown,male,https://swapi.dev/api/planets/10/,['https://swapi.dev/api/films/5/'],['https://swapi.dev/api/species/32/'],[],[],2014-12-20T17:30:50.416000Z,2014-12-20T21:17:50.473000Z,https://swapi.dev/api/people/72/,,,,,,,,,,,,,,,,,,,,,,
Taun We,213,unknown,none,grey,black,unknown,female,https://swapi.dev/api/planets/10/,['https://swapi.dev/api/films/5/'],['https://swapi.dev/api/species/32/'],[],[],2014-12-20T17:31:21.195000Z,2014-12-20T21:17:50.474000Z,https://swapi.dev/api/people/73/,,,,,,,,,,,,,,,,,,,,,,
Jocasta Nu,167,unknown,white,fair,blue,unknown,female,https://swapi.dev/api/planets/9/,['https://swapi.dev/api/films/5/'],['https://swapi.dev/api/species/1/'],[],[],2014-12-20T17:32:51.996000Z,2014-12-20T21:17:50.476000Z,https://swapi.dev/api/people/74/,,,,,,,,,,,,,,,,,,,,,,
R4-P17,96,unknown,none,"silver, red","red, blue",unknown,female,https://swapi.dev/api/planets/28/,"['https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",[],[],[],2014-12-20T17:43:36.409000Z,2014-12-20T21:17:50.478000Z,https://swapi.dev/api/people/75/,,,,,,,,,,,,,,,,,,,,,,
